sub_district,district,province
Amnat,Lue Amnat,Amnat Charoen
Bung,Mueang Amnat Charoen,Amnat Charoen
Chan Lan,Phana,Amnat Charoen
Chanuman,Chanuman,Amnat Charoen
Chik Du,Hua Taphan,Amnat Charoen
Don Moei,Mueang Amnat Charoen,Amnat Charoen
Dong Bang,Lue Amnat,Amnat Charoen
Dong Mayang,Lue Amnat,Amnat Charoen
Hua Taphan,Hua Taphan,Amnat Charoen
Huai,Pathum Ratchawongsa,Amnat Charoen
Huai Rai,Mueang Amnat Charoen,Amnat Charoen
Kai Kham,Mueang Amnat Charoen,Amnat Charoen
Kham Khuean Kaeo,Chanuman,Amnat Charoen
Kham Phon,Pathum Ratchawongsa,Amnat Charoen
Kham Phra,Hua Taphan,Amnat Charoen
Kheng Yai,Hua Taphan,Amnat Charoen
Khok Klang,Lue Amnat,Amnat Charoen
Khok Kong,Chanuman,Amnat Charoen
Khok San,Chanuman,Amnat Charoen
Khuem Yai,Mueang Amnat Charoen,Amnat Charoen
Kut Pla Duk,Mueang Amnat Charoen,Amnat Charoen
Lao Phruan,Mueang Amnat Charoen,Amnat Charoen
Lue,Pathum Ratchawongsa,Amnat Charoen
Maet,Lue Amnat,Amnat Charoen
Mai Klon,Phana,Amnat Charoen
Na Chik,Mueang Amnat Charoen,Amnat Charoen
Na Mo Ma,Mueang Amnat Charoen,Amnat Charoen
Na Pa Saeng,Pathum Ratchawongsa,Amnat Charoen
Na Phue,Mueang Amnat Charoen,Amnat Charoen
Na Tae,Mueang Amnat Charoen,Amnat Charoen
Na Wa,Pathum Ratchawongsa,Amnat Charoen
Na Wang,Mueang Amnat Charoen,Amnat Charoen
Na Wiang,Senangkhanikhom,Amnat Charoen
Na Yom,Mueang Amnat Charoen,Amnat Charoen
Nam Plik,Mueang Amnat Charoen,Amnat Charoen
Non Nam Thaeng,Mueang Amnat Charoen,Amnat Charoen
Non Ngam,Pathum Ratchawongsa,Amnat Charoen
Non Pho,Mueang Amnat Charoen,Amnat Charoen
Nong Hai,Senangkhanikhom,Amnat Charoen
Nong Kaeo,Hua Taphan,Amnat Charoen
Nong Kha,Pathum Ratchawongsa,Amnat Charoen
Nong Masaeo,Mueang Amnat Charoen,Amnat Charoen
Nong Sam Si,Senangkhanikhom,Amnat Charoen
Pa Ko,Chanuman,Amnat Charoen
Phana,Phana,Amnat Charoen
Phon Mueang Noi,Hua Taphan,Amnat Charoen
Phon Thong,Senangkhanikhom,Amnat Charoen
Phra Lao,Phana,Amnat Charoen
Pla Khao,Mueang Amnat Charoen,Amnat Charoen
Pueai,Lue Amnat,Amnat Charoen
Rai Khi,Lue Amnat,Amnat Charoen
Rai Si Suk,Senangkhanikhom,Amnat Charoen
Rattana Wari,Hua Taphan,Amnat Charoen
Sang Nok Tha,Mueang Amnat Charoen,Amnat Charoen
Sang Tho Noi,Hua Taphan,Amnat Charoen
Senangkha Nikhom,Senangkhanikhom,Amnat Charoen
Ang Kaeo,Pho Thong,Ang Thong
Ban Hae,Mueang Ang Thong,Ang Thong
Ban It,Mueang Ang Thong,Ang Thong
Ban Phran,Sawaeng Ha,Ang Thong
Ban Ri,Mueang Ang Thong,Ang Thong
Bang Chak,Wiset Chai Chan,Ang Thong
Bang Chao Cha,Pho Thong,Ang Thong
Bang Kaeo,Mueang Ang Thong,Ang Thong
Bang Phlap,Pho Thong,Ang Thong
Bang Pla Kot,Pa Mok,Ang Thong
Bang Rakam,Pho Thong,Ang Thong
Bang Sadet,Pa Mok,Ang Thong
Bo Rae,Pho Thong,Ang Thong
Chaiyaphum,Chaiyo,Ang Thong
Chaiyarit,Chaiyo,Ang Thong
Chaiyo,Chaiyo,Ang Thong
Chamlong,Sawaeng Ha,Ang Thong
Champa Lo,Mueang Ang Thong,Ang Thong
Chawai,Chaiyo,Ang Thong
Chorakhe Rong,Chaiyo,Ang Thong
Ekkarat,Pa Mok,Ang Thong
Hua Phai,Mueang Ang Thong,Ang Thong
Hua Taphan,Wiset Chai Chan,Ang Thong
Huai Khan Laen,Wiset Chai Chan,Ang Thong
Huai Phai,Sawaeng Ha,Ang Thong
